filename,kelas,file_size_kb,format,dampak,penanganan,kategori_sampah,risk_level
O_13587 - Copy.jpg,organik,15.95,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_359.jpg,organik,13.86,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_343.jpg,organik,12.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13639 - Copy - Copy.jpg,organik,9.75,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_187.jpg,organik,13.16,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_250 - Copy.jpg,organik,12.92,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_408.jpg,organik,9.58,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13935 - Copy (2) - Copy.jpg,organik,11.94,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_328 - Copy.jpg,organik,12.77,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4630 - Copy - Copy.jpg,organik,9.87,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_239 - Copy.jpg,organik,12.62,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4482 - Copy.jpg,organik,14.17,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4494 - Copy - Copy.jpg,organik,10.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_39.jpg,organik,15.29,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_345 - Copy.jpg,organik,14.36,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13947 - Copy (2) - Copy.jpg,organik,11.95,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_376 - Copy.jpg,organik,15.07,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13701 - Copy.jpg,organik,12.5,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12416 - Copy.jpg,organik,8.14,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_33.jpg,organik,10.12,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_174 - Copy.jpg,organik,10.41,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
